what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.wordNext,1310118847742
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.wordNext,1310118847883
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1310118852883
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1310118855508
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1310118868212
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1310118891588
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310118946466
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310118960092
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310118971389
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310119115615
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310119184619
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310119194305
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310119321968
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310122095971
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310122104103
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310133250732
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1310133269033
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1310133291614
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310133302038
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310133303255
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310133304223
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310133652753
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310133655769
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310134120095
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310134122007
