what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309855306216
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309855306372
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309855306419
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309855311137
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1309855338199
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1309855342355
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1309855371541
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1309855458427
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1309855460911
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309855485222
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309855486613
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1309855594766
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1309855654719
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1309855657375
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1309855661016
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1309855680844
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309855851796
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309855870969
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1309856611120
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309856637433
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309856653136
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1309856653199
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1309856653246
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309856791139
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309856791295
