what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1310104968944
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1310105074342
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1310105080182
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310105082828
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310105096997
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1310105100269
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310105367751
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310105377652
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310105864559
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310105943520
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1310105945534
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310105949625
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310105967736
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1310105967876
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1310105967970
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1310105996104
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310106118305
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310106154293
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310106157853
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310106182491
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1310106253474
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1310106256490
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1310106257037
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310106269990
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310106270161
