what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309932384167
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309932385776
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1309932519600
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1309932522131
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309932604207
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309932604301
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1309932692846
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1309932695908
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309933249307
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309933382773
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309933384101
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309933401616
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1309933403241
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1309933567020
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1309933603534
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309933610300
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309933614097
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1309933620144
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1309934114809
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1309934861221
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1309934916673
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309934923501
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309934987500
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309935003016
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309935018781
