what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310109802193
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1310109846573
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1310110092230
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310110093902
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1310110124580
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1310110130094
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1310110131141
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310110133203
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1310110151619
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1310110403892
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310110405283
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310110454470
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310110459266
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310110619173
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310112587090
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1310112639690
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1310112650348
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310112688697
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310112689978
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310112716638
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310113208995
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310113551824
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310113568211
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310114469558
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310115225617
