what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1310117855036
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310117857083
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1310117954036
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310117955193
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310118009334
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310118012177
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310118073179
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310118073335
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310118080476
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310118080569
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310118107508
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310118107664
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1310118112352
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310118113633
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310118127290
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310118128758
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1310118132196
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1310118145118
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310118146650
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1310118158884
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310118160134
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310118179213
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310118179369
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1310118227730
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1310118255200
