what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310106690555
started,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1310106792051
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1310106792332
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310106794177
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1310106857137
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1310106857324
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1310106935102
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310106939256
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310106944362
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1310106951435
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310106954901
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1310106965254
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310106966940
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1310106998045
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310107000480
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310107002120
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310107015689
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310107015861
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310107050307
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310107050416
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310107089281
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310107092045
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310107108237
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310107108362
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310107113343
