what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1310115230444
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310115233288
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310115246676
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310115272421
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310115283403
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1310115283466
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1310115283528
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1310115294620
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310115296557
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310115296745
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310115309945
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310115379620
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310116286626
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310116720997
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1310116780189
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310116782361
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310116795362
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310116795487
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310116830333
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310116836177
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1310116836193
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1310116837490
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310116838568
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310116853272
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310116853413
