what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1309857289539
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1309857289898
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1309857292367
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309857336444
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309857338022
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309857359616
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309857361038
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309857380537
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309857382256
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309857405068
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309857406334
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1309857466254
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1309857469786
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1309857471661
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309857524909
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309857525831
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309857545456
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.showInformation,1309857545472
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309857549159
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309857975397
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309858012366
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309858631066
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309858634331
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309858923056
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309858923212
