what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1309858977619
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1309858979682
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1309858983104
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1309858985385
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1309859181367
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1309860190947
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1309860191447
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1309860193244
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309860324855
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309861321053
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1309861323412
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309861327475
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309861364379
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.ContentOutline,1309861384644
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1309861391347
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309861474908
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309862068250
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309862068641
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309862071109
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309862071203
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309876841244
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1309876844056
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1309876844056
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309876844197
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.exit,1309876844306
