what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310107113530
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1310107120447
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310107123789
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310107123930
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1310107133907
started,bundle,org.eclipse.jdt.debug,3.4.1.v20081216_r342,org.eclipse.jdt.debug,1310107134407
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1310107134844
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1310107143823
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1310107156923
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1310107165449
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1310107178409
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1310107230484
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1310107254311
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310107257436
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310107298215
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310107307528
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310107589033
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310107624743
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1310107656873
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310107660936
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1310107681268
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1310107687941
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310107691395
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310107721103
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310107885607
