what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310116978078
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310116979625
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310117022878
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310117023331
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310117102806
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310117102931
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310117145885
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310117150477
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310117155085
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310117160349
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310117376752
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310117650121
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310117658323
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310117690945
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1310117737801
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310117739332
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1310117753191
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310117755551
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1310117781660
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1310117820989
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310117822879
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310117828504
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310117836020
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1310117844192
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310117845723
