what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1309931924344
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1309931953327
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1309931967466
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1309931973919
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309931995449
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309931995527
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309932027885
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309932028026
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1309932039931
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309932047494
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309932059259
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1309932103850
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309932106912
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309932110537
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1309932152191
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1309932154769
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309932177237
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309932178346
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309932178893
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309932235859
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1309932238547
started,bundle,org.eclipse.jdt.debug,3.4.1.v20081216_r342,org.eclipse.jdt.debug,1309932238984
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1309932239312
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309932260937
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309932333919
