what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309856931001
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309856947017
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309857082118
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309857091508
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309857114318
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309857114443
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1309857175141
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1309857186640
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1309857195530
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1309857197624
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309857207498
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309857208904
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309857218075
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1309857224528
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1309857228340
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1309857229356
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1309857238933
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1309857242933
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1309857259478
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1309857261134
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1309857269587
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1309857271055
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1309857281867
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1309857281961
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1309857288367
